BBEID,BBEScore,BBEVote,numRatings,ratingByStars,LikedPercent
382,29378,375,117120,"['62746', '32611', '15630', '4022', '2111']",95
383,29023,368,539724,"['219408', '171188', '108909', '28832', '11387']",93
384,28992,352,104523,"['40344', '34919', '19229', '6841', '3190']",90
385,28991,327,225596,"['112093', '65537', '31761', '9986', '6219']",93
386,28986,393,334051,"['122020', '121352', '72184', '14697', '3798']",94
387,28966,388,210234,"['88506', '75455', '36535', '7517', '2221']",95
388,28887,357,274616,"['117941', '80081', '52264', '17540', '6790']",91
389,28855,394,113375,"['37511', '39640', '24374', '8298', '3552']",90
390,28764,344,428907,"['246230', '119358', '46605', '11428', '5286']",96
391,28752,346,216149,"['85845', '73665', '36163', '13497', '6979']",91
392,28737,364,200458,"['63266', '63974', '45701', '18476', '9041']",86
393,28704,336,817411,"['458260', '260529', '74433', '16902', '7287']",97
394,28613,419,564260,"['196723', '218138', '121525', '21870', '6004']",95
395,28609,350,504747,"['229096', '160292', '87570', '19757', '8032']",94
